Publisher,Board,Number,Year,Rating
AEG,Mystic Vale,2368,2016,7.30
,Point Salad,3468,2019,7.35
,Space Base,5370,2018,7.52
,Love Letter,6944,2012,7.24
,Tiny Towns,6949,2019,7.43
,,,,
Blue Orange,Kingdomino Duel,840,2019,7.10
,Blue Lagoon,1951,2018,7.24
,Planet,2575,2018,6.80
,Photosynthesis,4049,2017,7.19
,Kingdomino,10175,2016,7.36
,,,,
CMON,Zombicide: Black Plague,1498,2015,7.71
,The Godfather,1500,2017,7.59
,Rising Son,3324,2018,7.93
,Blood Rage,4690,2015,8.01
,Gizmos,5376,2018,7.50
,,,,
Hans im Gluck,Citadels,2546,2000,7.09
,Hadara,2965,2019,7.52
,Marco Polo,4016,2015,7.92
,Stone Age,5011,2008,7.59
,Carcassonne,9713,2000,7.42
,,,,
Kosmos,5-Minute Dungeon,1566,2018,7.13
,Targi,2876,2012,7.62
,Imhotep,3005,2016,7.22
,Lost Cities,4254,1999,7.17
,Catan,6108,1995,7.17
,,,,
Lookout Games,Caverna,3390,2013,8.04
,Agricola,3906,2007,7.97
,Isle of Skye,4504,2015,7.45
,Barenpark,4680,2017,7.36
,Patchwork,8657,2014,7.68
,,,,
Stonemaier Games,Charterstone,2812,2017,7.51
,Tapestry,6874,2019,7.52
,Viticulutre,6896,2015,8.11
,Scythe,11652,2016,8.26
,Wingspan,19623,2019,8.11
