Rating,Board,Number
7.30,Mystic Vale,2368
7.35,Point Salad,3468
7.52,Space Base,5370
7.24,Love Letter,6944
7.43,Tiny Towns,6949
,,0
7.10,Kingdomino Duel,840
7.24,Blue Lagoon,1951
6.80,Planet,2575
7.19,Photosynthesis,4049
7.36,Kingdomino,10175
,,0
7.71,Zombicide: Black Plague,1498
7.59,The Godfather,1500
7.93,Rising Son,3324
8.01,Blood Rage,4690
7.50,Gizmos,5376
,,0
7.09,Citadels,2546
7.52,Hadara,2965
7.92,Marco Polo,4016
7.59,Stone Age,5011
7.42,Carcassonne,9713
,,0
7.13,5-Minute Dungeon,1566
7.62,Targi,2876
7.22,Imhotep,3005
7.17,Lost Cities,4254
7.17,Catan,6108
,,0
8.04,Caverna,3390
7.97,Agricola,3906
7.45,Isle of Skye,4504
7.36,Barenpark,4680
7.68,Patchwork,8657
,,0
7.51,Charterstone,2812
7.52,Tapestry,6874
8.11,Viticulutre,6896
8.26,Scythe,11652
8.11,Wingspan,19623
